Estados,yogod,(,),{,solado,;,},yoint,yofloat,yobool,yochar,id, comma,lambda,int,float,bool,char,scanfi,printfi,+,string,eoq,holy,fon,circo,trab,soled,:,break,lag,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,true,false,=,$,S',YOGOD,EXPR,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA
67,,,E100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,R59,R59,,R59,R59,R59,R59,R59,R59,R59,R59,,,R59,R59,R59,R59,R59,R59,,,R59,R59,R59,R59,,,,R59,,R59,R59,R59,R59,R59,R59,R59,,,,,,,R59,R59,R59,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,27,38,,,,,,,
70,,,,,,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,E39,,,,,,E21,E22,E23,E24,E37,,,,,,,E34,E35,,,E12,E13,E14,E15,,,,,,E40,E28,E29,E30,E31,E32,E33,,,,,,,,,,,,,,,103,7,11,,,,10,19,20,,,8,,,,,,9,16,25,36,26,17,27,38,18,,,,,,
72,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,E79,E80,E81,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,R14,,,,,,R14,R14,R14,R14,R14,,,,,,,R14,R14,,,R14,R14,R14,R14,,,,,,R14,R14,R14,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,R79,R79,R79,R79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,E106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,R41,,,R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,R42,,,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,R15,R15,,,R15,,,,,,R15,,R15,,,,,,,,,,,,,,,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,R16,R16,,,R16,,,,,,R16,,R16,,,,,,,,,,,,,,,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,R17,R17,,,R17,,,,,,R17,,R17,,,,,,,,,,,,,,,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,R18,R18,,,R18,,,,,,R18,,R18,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,E107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,E108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,E109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,R47,R47,,R47,R47,R47,R47,R47,R47,R47,R47,,,,,,,R47,R47,,,R47,R47,R47,R47,,,,R47,,R47,R47,R47,R47,R47,R47,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,E88,,,,,,,,,,E110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,25,36,26,,,,,,,,,,
89,,R55,R55,,R55,R55,R55,R55,R55,R55,R55,R55,,,R55,R55,R55,R55,R55,R55,,,R55,R55,R55,R55,,,,R55,,R55,R55,R55,R55,R55,R55,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,R58,R58,,R58,R58,R58,R58,R58,R58,R58,R58,,,R58,R58,R58,R58,R58,R58,,,R58,R58,R58,R58,,,,R58,,R58,R58,R58,R58,R58,R58,R58,,,,,,,R58,R58,R58,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,E91,,,,,,,,,,E90,,,,,,,,,,,,,,,,,,,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,27,38,,,,,,,
92,,,E111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,E112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,E113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,R24,,,,,,,,,,,,,,,,,,E114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,R26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,R50,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,R50,R50,R50,,R50,R50,R50,R50,,,,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,R57,R57,,R57,R57,R57,R57,R57,R57,R57,R57,,,R57,R57,R57,R57,R57,R57,,,R57,R57,R57,R57,,,,R57,,R57,R57,R57,R57,R57,R57,R57,,,,,,,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,R52,R52,,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,R52,R52,R52,,R52,R52,R52,R52,,,,R52,,R52,R52,R52,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,R60,R60,,R60,R60,R60,R60,R60,R60,R60,R60,,,R60,R60,R60,R60,R60,R60,,,R60,R60,R60,R60,,,,R60,,R60,R60,R60,R60,R60,R60,R60,,,,,,,R60,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,E115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,R6,,,R6,,R6,R6,R6,R6,R6,R6,,,,,,,R6,R6,,,R6,R6,R6,R6,,,,R6,,R6,R6,R6,R6,R6,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,E74,,,,,,,E72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E75,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,73
105,,,,,,,,,,,,,,E117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,
107,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,E79,E80,E81,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,E123,,,E124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,
110,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,E60,E61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,
111,,,,,,E125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,E126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
