Estados,yogod,(,),{,},id,=,yoint,yofloat,yochar,yobool,int,float,char,TRUE,FALSE,scanfi,printfi,string,eoq,trab,holy,fon,;,circo,soled,:,break,!,==,!=,>,>=,<,<=,+,-,/,*,&&,||,++,--,solado,$,S',YOGOD,EXPR,ATR,TIPO,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVALUE,DE,CASO,STMT,OP,OPARITMETICO,OPLOGICO,OPRELACIONAL,TEMP,OPRELACIONAL1,OPARITMETICO1,OPARITMETICO2,OPLOGICO1,OPLOGICO2,UNARIO,END
76,,R49,R49,,R49,R49,,R49,R49,R49,R49,R49,R49,R49,R49,R49,R49,R49,,R49,,R49,R49,,R49,,,R49,R49,,,,,,,,,,,,,,,R49,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,R50,R50,,R50,R50,,R50,R50,R50,R50,R50,R50,R50,R50,R50,R50,R50,,R50,,R50,R50,,R50,,,R50,R50,,,,,,,,,,,,,,,R50,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,R51,R51,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,,R51,,R51,R51,,R51,,,R51,R51,,,,,,,,,,,,,,,R51,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,R53,R53,,R53,R53,,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,,R53,,R53,R53,,R53,,,R53,R53,,,,,,,,,,,,,,,R53,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,E92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,E93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,R26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,E94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,E95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,
88,,,,E97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,R71,,,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,R72,,,,,,,,,,,,,,,,,,,,,,,R72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,E24,,,R22,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R22,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,98
93,,E24,,,R23,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R23,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,99
94,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,100,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
95,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,101,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,
98,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,E106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,E107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,E108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,E109,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,
105,,E24,,,R28,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,E112,E17,E18,,E19,,,R28,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,111
106,,E24,,,R32,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R32,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,113
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E57,E58,E59,E60,E61,E62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,
108,,E24,,,R36,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R36,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,115
109,,,,,,,,,,,,,,,,,,,,,,,,,,,E116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,E117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,E118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,R31,,,,,,,,,,,,,,,,,,,,,,,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,
115,,,,,R35,,,,,,,,,,,,,,,,,,,,,,,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,120,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
117,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,121,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
118,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,122,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,E123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,E124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,E125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,E126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,E128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,
124,,,,,R38,,,,,,,,,,,,,,,,,,,,,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,
125,,,,,R40,,,,,,,,,,,,,,,,,,,,,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,
126,,E24,,,R30,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R30,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,131
127,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E133,E134,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,R29,,,,,,,,,,,,,,,,,,,,,,,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,E135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,R70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,136,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
136,,,,,E137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,E24,,,R34,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R34,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,138
